0,1,2,3,4,5,6,7,8,9,10
15,MANIPUR,1,65,6400.0,288,288,0.0,289,353,22.1
16,MEGHALAYA,16,42,162.5,550,548,-0.4,566,590,4.2
17,MIZORAM,2,6,200.0,192,313,63.0,194,319,64.4
18,NAGALAND,1,3,200.0,84,52,-38.1,85,55,-35.3
19,ODISHA,1746,2445,40.0,17917,18568,3.6,19663,21013,6.9
20,PUNJAB,253,257,1.6,10708,10869,1.5,10961,11126,1.5
21,RAJASTHAN,164,133,-18.9,28261,26316,-6.9,28425,26449,-7.0
22,SIKKIM,8,14,75.0,280,296,5.7,288,310,7.6
23,TAMIL NADU,130,93,-28.5,24433,29022,18.8,24563,29115,18.5
24,TELANGANA,112,136,21.4,12985,12574,-3.2,13097,12710,-3.0
25,TRIPURA,7,12,71.4,738,623,-15.6,745,635,-14.8
26,UTTAR PRADESH,376,667,77.4,36868,42263,14.6,37244,42930,15.3
27,UTTARAKHAND,89,90,1.1,1590,2585,62.6,1679,2675,59.3
28  WEST BENGAL,,459,195,-57.5,14861,15299,2.9,15320,15494,1.1
,TOTAL (STATES),7006,7889,12.6,384014,415306,8.1,391020,423195,8.2
,UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,4,0,-100.0,213,207,-2.8,217,207,-4.6
30,CHANDIGARH,0,1,-,422,286,-32.2,422,287,-32.0
,D & N HAVELI AND,,,,,,,,,
31,,1,0,-100.0,300,309,3.0,301,309,2.7
,DAMAN & DIU,,,,,,,,,
32,DELHI (UT),0,1,-,6156,3647,-40.8,6156,3648,-40.7
33,JAMMU & KASHMIR,52,32,-38.5,1525,1518,-0.5,1577,1550,-1.7
34,LADAKH,63,137,117.5,93,99,6.5,156,236,51.3
35,LAKSHADWEEP,0,0,-,7,8,14.3,7,8,14.3
36,PUDUCHERRY,0,0,-,1552,1064,-31.4,1552,1064,-31.4
,TOTAL (UTs),120,171,42.5,6390,7138,11.7,6510,7309,12.3
,TOTAL (ALL INDIA),7126,8060,13.1,390404,422444,8.2,397530,430504,8.3
% Variation denotes percentage change in 2022 over 2021,,,,,,,,,,
,,,,Tractor,,,Three Wheeler/Auto Rickshaw,,,
,Sl. No.,State/UT,,,,,,,,
,,,Injured,,Died,Injured,Died,,,
,(1),(2),(9),,(10),(11),(12),,,
,,STATES,,,,,,,,
,1,ANDHRA PRADESH,210,,89,2821,621,,,
,2,ARUNACHAL PRADESH,1,,5,0,0,,,
,3,ASSAM,28,,19,521,172,,,
,4,BIHAR,427,,473,687,545,,,
,5,CHHATTISGARH,296,,160,238,40,,,
,6,GOA,0,,1,4,0,,,
,7,GUJARAT,115,,64,1272,411,,,
,8,HARYANA,119,,53,292,153,,,
,9,HIMACHAL PRADESH,44,,21,29,17,,,
,10,JHARKHAND,29,,40,667,660,,,
,11,KARNATAKA,487,,113,2619,408,,,
,12,KERALA,20,,14,3939,280,,,
,13,MADHYA PRADESH,1166,,482,2592,598,,,
,14,MAHARASHTRA,481,,302,1257,630,,,
,15,MANIPUR,0,,0,55,4,,,
,16,MEGHALAYA,0,,1,15,9,,,
,17,MIZORAM,0,,1,3,13,,,
,18,NAGALAND,0,,0,0,7,,,
,19,ODISHA,0,,0,613,181,,,
,20,PUNJAB,32,,70,96,149,,,
,21,RAJASTHAN,954,,561,600,199,,,
,22,SIKKIM,0,,0,0,0,,,
,23,TAMIL NADU,178,,81,2256,267,,,
,24,TELANGANA,336,,221,1788,334,,,
,25,TRIPURA,0,,0,50,14,,,
,26,UTTAR PRADESH,1012,,1015,1561,1658,,,
,27,UTTARAKHAND,12,,10,64,23,,,
,28  WEST BENGAL,,176,,125,381,211,,,
,,TOTAL (STATES),6123,,3921,24420,7604,,,
,,UNION TERRITORIES,,,,,,,,
,29,A & N ISLANDS,0,,0,13,0,,,
,30,CHANDIGARH,0,,0,13,5,,,
,31,D & N HAVELI AND DAMAN & DIU,0,,0,15,3,,,
,32,DELHI (UT),12,,3,294,73,,,
,33,JAMMU & KASHMIR,126,,30,241,13,,,
,34,LADAKH,0,,0,0,0,,,
,35,LAKSHADWEEP,0,,0,0,0,,,
,36,PUDUCHERRY,17,,2,23,3,,,
,,TOTAL (UTs),155,,35,599,97,,,
,,TOTAL (ALL INDIA),6278,,3956,25019,7701,,,
,,As per data provided by States/UTs.,,,,,,,,
,,,Table 1A.4 (Contd…),,,,,,,
,,,,Hand Drawn Vehicle/,,,,,,
,,Bicycle,,,,,Animal Drawn Vehicle,,,
Sl.,,,,Cycle Rickshaw,,,,,,
State/UT,,,,,,,,,,
No.,,,,,,,,,,
,Injured,,Died,Injured,Died,Injured,Died,,,
"(1) 
(2)",(17),,(18),(19),(20),(21),(22),,,
STATES,,,,,,,,,,
1  ANDHRA PRADESH,295,,153,12,3,18,7,,,
2  ARUNACHAL PRADESH,0,,0,0,0,0,0,,,
3  ASSAM,232,,142,23,0,0,0,,,
4  BIHAR,392,,524,18,26,0,1,,,
5  CHHATTISGARH,299,,138,19,5,0,1,,,
6  GOA,9,,3,0,0,0,0,,,
7  GUJARAT,177,,124,9,7,19,2,,,
8  HARYANA,120,,114,6,3,14,12,,,
9  HIMACHAL PRADESH,6,,6,0,0,0,0,,,
10  JHARKHAND,85,,150,63,95,52,47,,,
11  KARNATAKA,353,,84,0,0,71,13,,,
12  KERALA,773,,80,0,1,0,1,,,
13  MADHYA PRADESH,425,,126,56,12,20,0,,,
14  MAHARASHTRA,176,,127,13,7,7,6,,,
15  MANIPUR,23,,7,0,0,0,0,,,
16  MEGHALAYA,0,,2,0,0,0,0,,,
17  MIZORAM,0,,0,0,0,0,1,,,
18  NAGALAND,0,,0,0,0,0,0,,,
19  ODISHA,331,,199,0,0,0,0,,,
20  PUNJAB,112,,215,8,11,44,87,,,
21  RAJASTHAN,81,,32,3,0,1,1,,,
22  SIKKIM,1,,0,0,0,0,0,,,
23  TAMIL NADU,1406,,421,10,5,6,1,,,
24  TELANGANA,158,,69,160,53,0,0,,,
25  TRIPURA,13,,9,0,0,0,0,,,
26  UTTAR PRADESH,522,,537,125,92,122,76,,,
27  UTTARAKHAND,18,,11,0,0,0,0,,,
28  WEST BENGAL,207,,98,91,34,0,1,,,
TOTAL (STATES),6214,,3371,616,354,374,257,,,
UNION TERRITORIES,,,,,,,,,,
29  A & N ISLANDS,0,,0,0,0,0,0,,,
30  CHANDIGARH,15,,12,0,0,0,0,,,
31  D & N HAVELI AND DAMAN & DIU,5,,5,0,0,0,0,,,
32  DELHI (UT),153,,41,23,19,9,7,,,
33  JAMMU & KASHMIR,3,,4,0,1,0,0,,,
34  LADAKH,0,,0,0,0,0,0,,,
35  LAKSHADWEEP,0,,0,0,0,0,0,,,
36  PUDUCHERRY,36,,2,0,0,0,0,,,
TOTAL (UTs),212,,64,23,20,9,7,,,
,,,,,,,,,2100 hrs.,
,Sl.,0000 hrs,0300 hrs to,0600 hrs,0900 hrs,1200 hrs to,1500 hrs,1800 hrs to,,
,State/UT,,,,,,,,to,
No.,,to 0300 hrs.,0600 hrs.,to 0900,to 1200,1500 hrs,to 1800,2100hrs,,Total
,,,,,,,,,2400hrs(Ni,
,,(Night),(Night),hrs (Day),hrs (Day),(Day),hrs (Day),(Night),,
,,,,,,,,,ght),
,"(1) 
(2)",(3),(4),(5),(6),(7),(8),(9),(10),(11)
,STATES,,,,,,,,,
,"1 
ANDHRA PRADESH",886,1045,2290,3139,3141,3813,4591,2165,21070
,"2 
ARUNACHAL PRADESH",11,12,14,25,46,47,36,24,215
,"3 
ASSAM",409,452,903,1063,1143,1156,1133,769,7028
,"4 
BIHAR",485,1117,1602,1700,1405,1784,1865,843,10801
,"5 
CHHATTISGARH",442,493,1099,1875,2059,2500,3215,1408,13091
,"6 
GOA",286,152,260,393,471,457,619,374,3012
,"7 
GUJARAT",957,817,1727,2333,2477,2596,3167,1703,15777
,"8 
HARYANA",1048,801,1217,1330,1250,1554,2153,1301,10654
,"9 
HIMACHAL PRADESH",156,169,211,299,364,426,548,311,2484
,"10 
JHARKHAND",330,390,686,769,823,933,833,411,5175
,11  KARNATAKA,2246,3119,4018,5628,5780,6233,7424,5317,39765
,12  KERALA,1021,1426,5240,7790,6613,8543,9089,3870,43592
,13  MADHYA PRADESH,2935,2234,4560,7508,8837,9568,9907,6416,51965
,14  MAHARASHTRA,2010,1876,2829,4100,4467,5218,6095,3951,30546
,15  MANIPUR,17,3,48,96,67,91,117,69,508
,16  MEGHALAYA,13,9,24,48,29,51,41,31,246
,17  MIZORAM,1,3,14,15,18,6,13,1,71
,18  NAGALAND,3,1,6,4,3,2,2,3,24
,19  ODISHA,629,741,1252,1753,1767,2112,2279,1130,11663
,20  PUNJAB,383,450,721,737,850,949,1140,892,6122
,21  RAJASTHAN,933,902,2534,3379,3811,4496,5147,2418,23620
,22  SIKKIM,18,9,17,28,29,37,40,21,199
,23  TAMIL NADU,1624,2737,7397,9202,9107,11506,16285,6247,64105
,24  TELANGANA,1094,952,2163,2988,3312,4051,4544,2515,21619
,25  TRIPURA,12,16,54,104,93,100,123,73,575
,26  UTTAR PRADESH,3941,3886,3937,4299,4580,5213,6154,4865,36875
,27  UTTARAKHAND,122,141,207,244,235,248,243,234,1674
,28  WEST BENGAL,838,910,1193,1523,1495,1556,1699,1421,10635
,TOTAL (STATES),22850,24863,46223,62372,64272,75246,88502,48783,433111
,UNION TERRITORIES,,,,,,,,,
,29  A & N ISLANDS,6,6,12,15,27,32,20,23,141
,30  CHANDIGARH,36,8,16,18,25,36,35,64,238
,D & N HAVELI AND,,,,,,,,,
,31,8,1,15,27,17,37,44,26,175
,DAMAN & DIU,,,,,,,,,
,32  DELHI (UT),626,528,609,667,776,692,828,834,5560
,"33 
JAMMU & KASHMIR",130,227,742,1167,1350,1204,951,319,6090
,"34 
LADAKH",0,12,32,48,90,65,20,1,268
,"35 
LAKSHADWEEP",0,0,0,2,0,0,2,0,4
,36  PUDUCHERRY,32,35,144,157,199,202,261,151,1181
,TOTAL (UTs),838,817,1570,2101,2484,2268,2161,1418,13657
,TOTAL (ALL INDIA),23688,25680,47793,64473,66756,77514,90663,50201,446768
,As per data provided by States/UTs.,,,,,,,,,
,,0000 hrs,0300 hrs,,,,,,,
Sl.,,,,0600 hrs,0900 hrs,1200 hrs to,1500 hrs,1800 hrs,2100 hrs.,
,State/UT,to 0300,to 0600,,,,,,,
No.,,,,to 0900,to 1200,1500 hrs,to 1800,to 2100,to 2400 hrs,Total
,,hrs.,hrs.,,,,,,,
,,,,hrs (Day),hrs (Day),(Day),hrs (Day),hrs (Night),(Night),
,,(Night),(Night),,,,,,,
(1),(2),(21),(22),(23),(24),(25),(26),(27),(28),(29)
,STATES,,,,,,,,,
1,ANDHRA PRADESH,47,65,239,263,141,124,90,60,1029
2,ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0
3,ASSAM,67,86,102,68,104,94,84,84,689
4,BIHAR,79,131,280,239,201,211,158,145,1444
5,CHHATTISGARH,37,47,75,58,52,38,73,49,429
6,GOA,3,5,9,7,6,8,10,6,54
7,GUJARAT,69,71,107,103,73,90,133,120,766
8,HARYANA,92,93,189,180,146,141,162,124,1127
9,HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0
10,JHARKHAND,24,46,68,59,52,53,36,24,362
11  KARNATAKA,,0,0,0,0,0,0,0,0,0
12  KERALA,,36,19,28,23,11,28,26,23,194
,13  MADHYA PRADESH,162,127,188,165,153,150,191,139,1275
14  MAHARASHTRA,,359,251,679,755,626,667,805,685,4827
15  MANIPUR,,0,0,1,0,0,0,1,0,2
,,0000 hrs,0300 hrs,,,,,,,
,Sl.,,,0600 hrs,0900 hrs,1200 hrs to,1500 hrs,1800 hrs,2100 hrs.,
,State/UT,to 0300,to 0600,,,,,,,
No.,,,,to 0900,to 1200,1500 hrs,to 1800,to 2100,to 2400 hrs,Total
,,hrs.,hrs.,,,,,,,
,,,,hrs (Day),hrs (Day),(Day),hrs (Day),hrs (Night),(Night),
,,(Night),(Night),,,,,,,
,"(1) 
(2)",(30),(31),(32),(33),(34),(35),(36),(37),(38)
,STATES,,,,,,,,,
,"1 
ANDHRA PRADESH",933,1110,2529,3402,3282,3937,4681,2225,22099
,"2 
ARUNACHAL PRADESH",11,12,14,25,46,47,36,24,215
,"3 
ASSAM",476,541,1010,1131,1247,1251,1221,862,7739
,"4 
BIHAR",565,1253,1901,1941,1610,2000,2039,988,12297
,"5 
CHHATTISGARH",479,540,1174,1935,2112,2539,3288,1457,13524
,"6 
GOA",289,157,269,400,477,465,629,380,3066
,"7 
GUJARAT",1026,888,1834,2438,2552,2688,3300,1823,16549
,"8 
HARYANA",1140,902,1411,1513,1402,1705,2345,1458,11876
,"9 
HIMACHAL PRADESH",156,169,211,299,364,426,548,311,2484
,"10 
JHARKHAND",354,437,755,829,876,988,870,435,5544
,11  KARNATAKA,2246,3119,4018,5628,5780,6233,7424,5317,39765
,12  KERALA,1070,1471,5298,7840,6642,8597,9141,3911,43970
,13  MADHYA PRADESH,3134,2390,4779,7703,9018,9746,10119,6590,53479
,14  MAHARASHTRA,2369,2127,3508,4855,5093,5885,6900,4636,35373
,15  MANIPUR,17,3,49,96,67,91,118,69,510
,16  MEGHALAYA,13,9,24,48,29,51,41,31,246
,17  MIZORAM,1,3,14,15,18,6,13,1,71
,18  NAGALAND,3,1,7,6,5,2,2,3,29
,19  ODISHA,629,741,1252,1753,1782,2124,2279,1184,11744
,20  PUNJAB,466,501,945,913,957,1066,1263,989,7100
,21  RAJASTHAN,1020,994,2657,3504,3911,4632,5305,2539,24562
,22  SIKKIM,18,9,17,28,29,37,40,21,199
,23  TAMIL NADU,1750,2874,7853,9526,9305,11747,16566,6496,66117
,24  TELANGANA,1119,987,2282,3129,3383,4134,4627,2574,22235
,25  TRIPURA,13,17,62,107,97,102,129,77,604
,26  UTTAR PRADESH,4362,4551,4494,4844,5121,5802,6842,5389,41405
,27  UTTARAKHAND,126,150,215,256,245,254,261,242,1749
,28  WEST BENGAL,991,1173,1663,1987,1808,1923,2133,1724,13402
,TOTAL (STATES),24776,27129,50245,66151,67258,78478,92160,51756,457953
,UNION TERRITORIES,,,,,,,,,
,29  A & N ISLANDS,6,6,12,15,27,32,20,23,141
,30  CHANDIGARH,36,8,16,18,25,36,35,64,238
,D & N HAVELI AND,,,,,,,,,
,31,8,1,15,27,17,37,44,26,175
,DAMAN & DIU,,,,,,,,,
,32  DELHI (UT),694,611,733,758,870,793,961,936,6356
,"33 
JAMMU & KASHMIR",132,235,752,1175,1360,1208,957,323,6142
,"34 
LADAKH",0,12,32,48,90,65,20,1,268
,"35 
LAKSHADWEEP",0,0,0,2,0,0,2,0,4
,36  PUDUCHERRY,32,35,144,157,202,206,261,153,1190
,TOTAL (UTs),908,908,1704,2200,2591,2377,2300,1526,14514
,TOTAL (ALL INDIA),25684,28037,51949,68351,69849,80855,94460,53282,472467
,As per data provided by States/UTs.,,,,,,,,,
,,"Road Classification – wise Number of Road Accidents, Injuries and Deaths during 2022",,,,,,,,
,,,(State/UT - wise),,,,,,,
,,,Other Roads,,,Total,,,,
,Sl.,,,,,,,,,
,State/UT,,,,,,,,,
No.,,,,,,,,,,
,,Cases,Injured,Died,Cases,Injured,Died,,,
,"(1) 
(2)",(12),(13),(14),(15),(16),(17),,,
,STATES,,,,,,,,,
,"1 
ANDHRA PRADESH",7678,7519,2631,21070,21340,8293,,,
,"2 
ARUNACHAL PRADESH",87,91,82,215,177,152,,,
,"3 
ASSAM",1924,1556,845,7028,5679,3060,,,
,"4 
BIHAR",3772,2289,2940,10801,7068,8898,,,
,"5 
CHHATTISGARH",6993,6032,3028,13091,11459,5890,,,
,"6 
GOA",1377,533,116,3012,1071,274,,,
,"7 
GUJARAT",8170,7619,3378,15777,15139,7634,,,
,"8 
HARYANA",4949,3705,2116,10654,8353,5228,,,
,"9 
HIMACHAL PRADESH",767,1207,372,2484,3891,979,,,
,"10 
JHARKHAND",1981,1501,1387,5175,3747,3898,,,
,11  KARNATAKA,16580,19091,4228,39765,48154,11705,,,
,12  KERALA,23847,26252,1986,43592,49317,4317,,,
,13  MADHYA PRADESH,28161,27353,6736,51965,51264,13918,,,
,14  MAHARASHTRA,14526,10874,6729,30546,23878,15748,,,
,15  MANIPUR,98,195,35,508,817,127,,,
,16  MEGHALAYA,62,74,48,246,310,162,,,
,17  MIZORAM,2,3,2,71,28,83,,,
,18  NAGALAND,5,1,4,24,42,22,,,
,19  ODISHA,4698,4233,2150,11663,10269,5470,,,
,20  PUNJAB,2230,1123,1799,6122,3372,4688,,,
,21  RAJASTHAN,12284,11598,4682,23620,22249,11103,,,
,22  SIKKIM,52,86,45,199,371,98,,,
,23  TAMIL NADU,22500,23178,5542,64105,67703,17884,,,
,24  TELANGANA,11931,11217,3729,21619,20209,7559,,,
,25  TRIPURA,141,136,59,575,541,241,,,
,26  UTTAR PRADESH,13637,8139,8493,36875,21696,24109,,,
,27  UTTARAKHAND,516,395,282,1674,1613,1042,,,
,28  WEST BENGAL,4737,3509,2417,10635,8124,5788,,,
,TOTAL (STATES),193705,179509,65861,433111,407881,168370,,,
,UNION TERRITORIES,,,,,,,,,
,29  A & N ISLANDS,56,55,6,141,136,19,,,
,30  CHANDIGARH,209,182,74,238,203,83,,,
,D & N HAVELI AND,,,,,,,,,
,31,86,158,46,175,257,80,,,
,DAMAN & DIU,,,,,,,,,
,32  DELHI (UT),4544,3903,1175,5560,4713,1461,,,
,"33 
JAMMU & KASHMIR",2769,3714,376,6090,8350,838,,,
,"34 
LADAKH",33,32,4,268,333,66,,,
,"35 
LAKSHADWEEP",4,3,2,4,3,2,,,
,36  PUDUCHERRY,639,754,100,1181,1282,181,,,
,TOTAL (UTs),8340,8801,1783,13657,15277,2730,,,
,TOTAL (ALL INDIA),202045,188310,67644,446768,423158,171100,,,
,As per data provided by States/UTs.,,,,,,,,,
,,,Table – 2.2,,,,,,,
,,Incidence and Rate of Suicides – 2022,,,,,,,,
,,,(State/UT - wise),,,,,,,
,,,,Projected Mid–Year,,,,,,
,,Number of,Percentage Share in,,Rate of Suicides,,,,,
Sl. No.,State/UT,,,Population #,,,,,,
,,Suicides,Total Suicides,,(Col.3/Col.5),,,,,
,,,,(in Lakh),,,,,,
(1),(2),(3),(4),(5),(6),,,,,
,STATES,,,,,,,,,
1,ANDHRA PRADESH,8908,5.2,530.3,16.8,,,,,
2,ARUNACHAL PRADESH,149,0.1,15.5,9.6,,,,,
3,ASSAM,3320,1.9,354.9,9.4,,,,,
4,BIHAR,702,0.4,1255.3,0.6,,,,,
5,CHHATTISGARH,8446,4.9,299.5,28.2,,,,,
6,GOA,302,0.2,15.7,19.2,,,,,
7,GUJARAT,9002,5.3,709.3,12.7,,,,,
8,HARYANA,3783,2.2,299.7,12.6,,,,,
9,HIMACHAL PRADESH,644,0.4,74.4,8.7,,,,,
10,JHARKHAND,2181,1.3,391.4,5.6,,,,,
11,KARNATAKA,13606,8.0,674.1,20.2,,,,,
12,KERALA,10162,5.9,356.8,28.5,,,,,
13,MADHYA PRADESH,15386,9.0,858.9,17.9,,,,,
14,MAHARASHTRA,22746,13.3,1257.4,18.1,,,,,
15,MANIPUR,26,0.0,32.0,0.8,,,,,
16,MEGHALAYA,213,0.1,33.3,6.4,,,,,
17,MIZORAM,153,0.1,12.3,12.4,,,,,
18,NAGALAND,49,0.0,22.2,2.2,,,,,
19,ODISHA,6140,3.6,460.8,13.3,,,,,
20,PUNJAB,2441,1.4,306.0,8.0,,,,,
21,RAJASTHAN,5343,3.1,804.4,6.6,,,,,
22,SIKKIM,293,0.2,6.8,43.1,,,,,
23,TAMIL NADU,19834,11.6,767.1,25.9,,,,,
24,TELANGANA,9980,5.8,379.5,26.3,,,,,
25,TRIPURA,713,0.4,41.2,17.3,,,,,
26,UTTAR PRADESH,8176,4.8,2340.9,3.5,,,,,
27,UTTARAKHAND,814,0.5,115.6,7.0,,,,,
28,WEST BENGAL,12669,7.4,987.6,12.8,,,,,
,TOTAL (STATES),166181,97.2,13403.0,12.4,,,,,
,UNION TERRITORIES,,0.0,,,,,,,
29,A & N ISLANDS,171,0.1,4.0,42.8,,,,,
30,CHANDIGARH,131,0.1,12.2,10.7,,,,,
,D & N HAVELI AND,,,,,,,,,
31,,205,0.1,12.0,17.1,,,,,
,DAMAN & DIU,,,,,,,,,
32,DELHI (UT),3417,2.0,211,16.2,,,,,
33,JAMMU & KASHMIR,323,0.2,135.4,2.4,,,,,
34,LADAKH,13,0.0,3.0,4.3,,,,,
35,LAKSHADWEEP,2,0.0,0.7,2.9,,,,,
36,PUDUCHERRY,481,0.3,16.2,29.7,,,,,
,TOTAL (UTs),4743,2.8,394.5,12.0,,,,,
,TOTAL (ALL INDIA),170924,100.0,13797.5,12.4,,,,,
,,Table – 2.3,,,,,,,,
,,Incidence of Suicides during 2021 and 2022 and their Percentage Variation,,,,,,,,
,,(State/UT-wise),,,,,,,,
Sl.,,,Number of Suicides,Percentage Variation in,,,,,,
,State/UT,,,,,,,,,
No.,,2021,2022,2022 over 2021,,,,,,
(1),(2),(3),(4),(5),,,,,,
,STATES,,,,,,,,,
1,ANDHRA PRADESH,8067,8908,10.4,,,,,,
2,ARUNACHAL PRADESH,160,149,-6.9,,,,,,
3,ASSAM,3262,3320,1.8,,,,,,
4,BIHAR,827,702,-15.1,,,,,,
5,CHHATTISGARH,7828,8446,7.9,,,,,,
6,GOA,321,302,-5.9,,,,,,
7,GUJARAT,8789,9002,2.4,,,,,,
8,HARYANA,3692,3783,2.5,,,,,,
9,HIMACHAL PRADESH,889,644,-27.6,,,,,,
10,JHARKHAND,1825,2181,19.5,,,,,,
11,KARNATAKA,13056,13606,4.2,,,,,,
12,KERALA,9549,10162,6.4,,,,,,
13,MADHYA PRADESH,14965,15386,2.8,,,,,,
14,MAHARASHTRA,22207,22746,2.4,,,,,,
15,MANIPUR,49,26,-46.9,,,,,,
16,MEGHALAYA,226,213,-5.8,,,,,,
17,MIZORAM,99,153,54.5,,,,,,
18,NAGALAND,43,49,14.0,,,,,,
19,ODISHA,5651,6140,8.7,,,,,,
20,PUNJAB,2600,2441,-6.1,,,,,,
21,RAJASTHAN,5593,5343,-4.5,,,,,,
22,SIKKIM,266,293,10.2,,,,,,
23,TAMIL NADU,18925,19834,4.8,,,,,,
24,TELANGANA,10171,9980,-1.9,,,,,,
25,TRIPURA,771,713,-7.5,,,,,,
26,UTTAR PRADESH,5932,8176,37.8,,,,,,
27,UTTARAKHAND,717,814,13.5,,,,,,
28  WEST BENGAL,,13500,12669,-6.2,,,,,,
,TOTAL (STATES),159980,166181,3.9,,,,,,
,UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,159,171,7.5,,,,,,
30,CHANDIGARH,120,131,9.2,,,,,,
,D & N HAVELI AND,,,,,,,,,
31,,171,205,19.9,,,,,,
,DAMAN & DIU,,,,,,,,,
32,DELHI (UT),2840,3417,20.3,,,,,,
33,JAMMU & KASHMIR,247,323,30.8,,,,,,
34,LADAKH,11,13,18.2,,,,,,
35,LAKSHADWEEP,1,2,100.0,,,,,,
36,PUDUCHERRY,504,481,-4.6,,,,,,
,TOTAL (UTs),4053,4743,17.0,,,,,,
,TOTAL (ALL INDIA),164033,170924,4.2,,,,,,
‘Incidence’ – refers to number of suicides,,,,,,,,,,
,,(State/UT-wise),,,,,,,,
Sl. No.,State/UT,Cases,Married,Un-Married,Total,,,,,
(1),(2),(3),(4),(5),(6),,,,,
,STATES,,,,,,,,,
1,ANDHRA PRADESH,13,21,8,29,,,,,
2,ARUNACHAL PRADESH,0,0,0,0,,,,,
3,ASSAM,1,2,0,2,,,,,
4,BIHAR,0,0,0,0,,,,,
5,CHHATTISGARH,0,0,0,0,,,,,
6,GOA,1,1,1,2,,,,,
7,GUJARAT,1,2,1,3,,,,,
8,HARYANA,0,0,0,0,,,,,
9,HIMACHAL PRADESH,0,0,0,0,,,,,
10,JHARKHAND,0,0,0,0,,,,,
11,KARNATAKA,7,13,3,16,,,,,
12,KERALA,4,9,2,11,,,,,
13,MADHYA PRADESH,4,5,3,8,,,,,
14,MAHARASHTRA,2,4,0,4,,,,,
15,MANIPUR,0,0,0,0,,,,,
16,MEGHALAYA,0,0,0,0,,,,,
17,MIZORAM,0,0,0,0,,,,,
18,NAGALAND,0,0,0,0,,,,,
19,ODISHA,0,0,0,0,,,,,
20,PUNJAB,5,5,5,10,,,,,
21,RAJASTHAN,20,15,28,43,,,,,
22,SIKKIM,0,0,0,0,,,,,
23,TAMIL NADU,90,140,52,192,,,,,
24,TELANGANA,1,2,0,2,,,,,
25,TRIPURA,0,0,0,0,,,,,
26,UTTAR PRADESH,1,3,0,3,,,,,
27,UTTARAKHAND,0,0,0,0,,,,,
28,WEST BENGAL,0,0,0,0,,,,,
,,150,222,103,325,,,,,
,UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,0,0,0,0,,,,,
30,CHANDIGARH,0,0,0,0,,,,,
,D & N HAVELI AND,,,,,,,,,
31,,0,0,0,0,,,,,
,DAMAN & DIU,,,,,,,,,
32,DELHI (UT),0,0,0,0,,,,,
33,JAMMU & KASHMIR,0,0,0,0,,,,,
34,LADAKH,0,0,0,0,,,,,
35,LAKSHADWEEP,0,0,0,0,,,,,
36,PUDUCHERRY,0,0,0,0,,,,,
,TOTAL (UTs),0,0,0,0,,,,,
,TOTAL (ALL INDIA),150,222,103,325,,,,,
Col. 6 = Col. 4 + Col. 5,,,,,,,,,,
,,(State/UT-wise),,,,,,,,
Sl. No.,State/UT,Cases,Married,Un-Married,Total,,,,,
(1),(2),(3),(4),(5),(6),,,,,
,STATES,,,,,,,,,
1,ANDHRA PRADESH,13,21,8,29,,,,,
